,Runtime,Runtime,Runtime,Runtime,IMDB_Rating,IMDB_Rating,IMDB_Rating,IMDB_Rating,No_of_Votes,No_of_Votes,No_of_Votes,No_of_Votes,Gross,Gross,Gross,Gross,Metascore,Metascore,Metascore,Metascore
,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std
Genre,,,,,,,,,,,,,,,,,,,,
Action,45,321,129.04651162790697,28.500705634742214,7.6,9.0,7.949418604651163,0.30425771874830493,25312,2303232,420246.5813953488,432946.8147476002,3296.0,936662225.0,189722449.5,225672366.72461703,33.0,98.0,73.41958041958041,12.421251999342228
Adventure,88,228,134.11111111111111,33.31732009730605,7.6,8.6,7.9375,0.22978097348267854,29999,1512360,313557.81944444444,301188.34764230537,61001.0,874211619.0,131901700.8888889,169754336.07807693,41.0,100.0,78.4375,12.345393074290104
Animation,71,137,99.58536585365853,14.53047136236973,7.6,8.6,7.930487804878048,0.2532207471022538,25229,999790,268032.0731707317,262173.2315705924,128985.0,873839108.0,178432598.14634147,209183985.2195184,61.0,96.0,81.09333333333333,8.813646257954783
Biography,93,209,136.02272727272728,25.51446615708599,7.6,8.9,7.9386363636363635,0.26713973190754536,27254,1213505,272805.04545454547,271284.1913720107,21877.0,753585104.0,94049518.25,136325057.73150063,48.0,97.0,76.24050632911393,11.028186718787753
Comedy,68,188,112.12903225806451,22.946213132221658,7.6,8.6,7.901290322580645,0.22877059818528098,26337,939631,178195.65806451612,188653.57056370354,1305.0,886752933.0,101057213.96774194,194651306.99940938,45.0,99.0,78.72,11.829160251601317
Crime,80,229,126.39252336448598,27.689231272793084,7.6,9.2,8.016822429906542,0.33547656367497874,27712,1826188,313398.27102803736,373999.7306558552,6013.0,790482117.0,78996559.88785046,157119144.9023231,47.0,100.0,77.08045977011494,13.099102038107727
Drama,64,242,124.73702422145328,27.740489726763318,7.6,9.3,7.957439446366782,0.2672292580449351,25088,2343110,212343.61245674742,305554.16284106177,3600.0,924558264.0,122525861.73356402,220116408.53444582,28.0,100.0,79.70124481327801,12.744686740389113
Family,100,115,107.5,10.606601717798213,7.8,7.8,7.8,0.0,178731,372490,275610.5,137008.30281592425,4000000.0,435110554.0,219555277.0,304841196.17448926,67.0,91.0,79.0,16.97056274847714
Fantasy,76,94,85.0,12.727922061357855,7.9,8.1,8.0,0.141421356237309,57428,88794,73111.0,22179.11129869725,337574718.0,445151978.0,391363348.0,76068610.04746833,,,,
Film-Noir,100,108,104.0,4.0,7.8,8.1,7.966666666666666,0.1527525231651951,59556,158731,122405.0,54649.08327684921,449191.0,123353292.0,41970181.0,70484721.95177144,94.0,97.0,95.66666666666667,1.5275252316519485
Horror,71,122,102.0909090909091,13.604811982931226,7.6,8.5,7.909090909090909,0.3113022500867777,27007,787806,340232.36363636365,234883.5086911266,89029.0,298791505.0,94059021.63636364,99650165.55370711,46.0,97.0,80.0,15.362291495737214
Mystery,96,138,119.08333333333333,14.475423268004247,7.6,8.4,7.9750000000000005,0.3107907802540292,33982,1129894,350250.3333333333,404621.91529676726,1035953.0,474203697.0,104701417.91666667,156752421.74863222,52.0,100.0,79.125,18.604434955139062
Thriller,108,108,108.0,,7.8,7.8,7.8,,27733,27733,27733.0,,17550741.0,17550741.0,17550741.0,,81.0,81.0,81.0,
Western,132,165,148.25,17.15371679840844,7.8,8.8,8.35,0.42031734043061625,65659,688390,322416.25,263489.55428046227,5321508.0,31800000.0,14555377.0,12306264.650515037,69.0,90.0,78.25,9.032349269892817
